pair_id,pair_index_within_group,subject_id,gesture,distance,capture_id,rgb_video_path,nir_video_path,rgb_num_frames,nir_num_frames,rgb_fps,nir_fps,duration_rgb,duration_nir,fps_diff,frame_diff,duration_diff,is_valid_pair,rgb_width,rgb_height,nir_width,nir_height,rgb_filename,nir_filename,rgb_serial_no,nir_serial_no
PAIR_00001,1,4F_S001,doctor,4_feet,1,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260303_154701.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303154701830.mp4,184,135,29.69647193001962,25.07429420505201,6.196022222222222,5.384,4.622177724967614,49,0.8120222222222218,True,1080,1920,720,960,video_20260303_154701.mp4,20260303154701830.mp4,20260303154701,20260303154701830
PAIR_00002,2,4F_S002,doctor,4_feet,2,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260303_155209.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303155208958.mp4,173,137,30.01920303546777,25.04112593675745,5.7629777777777775,5.471,4.978077098710326,36,0.2919777777777774,True,1080,1920,720,960,video_20260303_155209.mp4,20260303155208958.mp4,20260303155209,20260303155208958
PAIR_00003,3,4F_S003,doctor,4_feet,3,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260303_160149.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303160149432.mp4,180,137,30.01929017350038,25.00912741876597,5.996144444444444,5.478,5.010162754734406,43,0.5181444444444443,True,1080,1920,720,960,video_20260303_160149.mp4,20260303160149432.mp4,20260303160149,20260303160149432
PAIR_00004,4,4F_S004,doctor,4_feet,4,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260303_161125.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303161125449.mp4,175,142,30.019269512048687,25.035260930888576,5.829588888888889,5.672,4.984008581160111,33,0.1575888888888892,True,1080,1920,720,960,video_20260303_161125.mp4,20260303161125449.mp4,20260303161125,20260303161125449
PAIR_00005,5,4F_S005,doctor,4_feet,5,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260303_161400.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303161400573.mp4,167,135,30.01929383755628,25.04638218923933,5.563088888888889,5.390000000000001,4.972911648316941,32,0.1730888888888886,True,1080,1920,720,960,video_20260303_161400.mp4,20260303161400573.mp4,20260303161400,20260303161400573
PAIR_00006,6,4F_S006,doctor,4_feet,6,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260303_161659.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303161659874.mp4,172,129,30.19327204957314,25.02424830261881,5.696633333333334,5.155,5.169023746954323,43,0.5416333333333334,True,1080,1920,720,960,video_20260303_161659.mp4,20260303161659874.mp4,20260303161659,20260303161659874
PAIR_00008,8,4F_S008,doctor,4_feet,8,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260303_163030.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303163030280.mp4,176,123,30.01978576789248,25.03052503052503,5.8628,4.914,4.989260737367445,53,0.9488000000000004,True,1080,1920,720,960,video_20260303_163030.mp4,20260303163030280.mp4,20260303163030,20260303163030280
PAIR_00010,10,4F_S010,doctor,4_feet,10,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260303_163947.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303163947452.mp4,168,129,30.19742163549396,24.96130030959752,5.563388888888889,5.168,5.236121325896431,39,0.3953888888888892,True,1080,1920,720,960,video_20260303_163947.mp4,20260303163947452.mp4,20260303163947,20260303163947452
PAIR_00011,11,4F_S011,doctor,4_feet,11,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260303_164404.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303164239829.mp4,170,133,30.195322290660567,25.0,5.630011111111111,5.32,5.195322290660567,37,0.3100111111111108,True,1080,1920,720,960,video_20260303_164404.mp4,20260303164239829.mp4,20260303164404,20260303164239829
PAIR_00016,16,4F_S016,doctor,4_feet,16,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260303_235146.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260303235158692.mp4,186,129,30.019259668389395,25.019394879751747,6.196022222222222,5.156,4.999864788637648,57,1.0400222222222224,True,1080,1920,720,960,video_20260303_235146.mp4,20260303235158692.mp4,20260303235146,20260303235158692
PAIR_00018,18,4F_S018,doctor,4_feet,18,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260304_000635.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304000804948.mp4,169,127,30.0193023522028,25.009846396218983,5.629711111111111,5.078,5.009455955983814,42,0.5517111111111106,True,1080,1920,720,960,video_20260304_000635.mp4,20260304000804948.mp4,20260304000635,20260304000804948
PAIR_00019,19,4F_S019,doctor,4_feet,19,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260304_001520.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304001657006.mp4,165,138,30.019224432616443,25.027203482045703,5.496477777777778,5.513999999999999,4.9920209505707405,27,0.0175222222222215,True,1080,1920,720,960,video_20260304_001520.mp4,20260304001657006.mp4,20260304001520,20260304001657006
PAIR_00021,21,4F_S021,doctor,4_feet,21,/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/doctor/video_20260304_002757.mp4,/data/Sajjan_Singh/gesture_recognition/data/raw/NIR/nir/4_feet/doctor/20260304003015370.mp4,170,131,30.195322290660567,24.99522991795459,5.630011111111111,5.241,5.200092372705978,39,0.3890111111111114,True,1080,1920,720,960,video_20260304_002757.mp4,20260304003015370.mp4,20260304002757,20260304003015370
