video_path,filename,suffix,modality,distance,gesture,subject_id,capture_id,file_stem,fps,num_frames,width,height,duration_sec,is_readable,sample_id
/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/Doctor/video_20260303_154701.mp4,video_20260303_154701.mp4,.mp4,RGB,4_feet,doctor,,TS_20260303154701,video_20260303_154701,29.69647193001962,184,1080,1920,6.196022222222222,True,None__doctor__4_feet__TS_20260303154701
/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/Doctor/video_20260303_155209.mp4,video_20260303_155209.mp4,.mp4,RGB,4_feet,doctor,,TS_20260303155209,video_20260303_155209,30.019203035467775,173,1080,1920,5.7629777777777775,True,None__doctor__4_feet__TS_20260303155209
/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/Doctor/video_20260303_160149.mp4,video_20260303_160149.mp4,.mp4,RGB,4_feet,doctor,,TS_20260303160149,video_20260303_160149,30.01929017350038,180,1080,1920,5.996144444444444,True,None__doctor__4_feet__TS_20260303160149
/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/Doctor/video_20260303_161125.mp4,video_20260303_161125.mp4,.mp4,RGB,4_feet,doctor,,TS_20260303161125,video_20260303_161125,30.019269512048687,175,1080,1920,5.829588888888889,True,None__doctor__4_feet__TS_20260303161125
/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/Doctor/video_20260303_161400.mp4,video_20260303_161400.mp4,.mp4,RGB,4_feet,doctor,,TS_20260303161400,video_20260303_161400,30.019293837556273,167,1080,1920,5.563088888888889,True,None__doctor__4_feet__TS_20260303161400
/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/Doctor/video_20260303_161659.mp4,video_20260303_161659.mp4,.mp4,RGB,4_feet,doctor,,TS_20260303161659,video_20260303_161659,30.19327204957314,172,1080,1920,5.696633333333334,True,None__doctor__4_feet__TS_20260303161659
/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/Doctor/video_20260303_162723.mp4,video_20260303_162723.mp4,.mp4,RGB,4_feet,doctor,,TS_20260303162723,video_20260303_162723,30.019203035467775,173,1080,1920,5.7629777777777775,True,None__doctor__4_feet__TS_20260303162723
/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/Doctor/video_20260303_163030.mp4,video_20260303_163030.mp4,.mp4,RGB,4_feet,doctor,,TS_20260303163030,video_20260303_163030,30.019785767892476,176,1080,1920,5.8628,True,None__doctor__4_feet__TS_20260303163030
/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/Doctor/video_20260303_163442.mp4,video_20260303_163442.mp4,.mp4,RGB,4_feet,doctor,,TS_20260303163442,video_20260303_163442,30.019785767892476,176,1080,1920,5.8628,True,None__doctor__4_feet__TS_20260303163442
/data/Sajjan_Singh/gesture_recognition/data/raw/RGB/4_feet/Doctor/video_20260303_163947.mp4,video_20260303_163947.mp4,.mp4,RGB,4_feet,doctor,,TS_20260303163947,video_20260303_163947,30.197421635493953,168,1080,1920,5.563388888888889,True,None__doctor__4_feet__TS_20260303163947
